"inc_ang [deg]","Freq [GHz]","mag(S(rx1_p1,tx_p1)) []","ang_deg(S(rx1_p1,tx_p1)) [deg]","mag(S(rx2_p1,tx_p1)) []","ang_deg(S(rx2_p1,tx_p1)) [deg]"
-90,6.382,0.00568752511599578,-32.0738957477869,0.000454115666863234,-26.2748970533685
-90,6.383,0.00568849457859952,-34.7473714371205,0.000454218916033826,-28.9700736989339
-90,6.384,0.00568945518463691,-37.4208644813631,0.000454321216248973,-31.6652636699072
-90,6.385,0.00569040692942762,-40.0943746994083,0.000454422567140359,-34.3604668259443
-90,6.386,0.00569134980958887,-42.7679019259401,0.000454522968419296,-37.055683027615
-90,6.387,0.00569228381902755,-45.44144600109,0.000454622419647072,-39.7509121453005
-90,6.388,0.00569320895411701,-48.1150067444733,0.000454720920669147,-42.4461540700763
-90,6.389,0.00569412521087341,-50.7885839923863,0.000454818471050738,-45.1414086401901
-90,6.39,0.00569503258470785,-53.4621775946247,0.000454915070563467,-47.8366757372931
-90,6.391,0.00569593107129294,-56.1357873642506,0.000455010718820168,-50.5319552400681
-90,6.392,0.00569682066506093,-58.8094131423169,0.000455105415665604,-53.2272470055619
-90,6.393,0.00569770136406047,-61.4830547590429,0.00045519916066798,-55.9225509073316
-90,6.394,0.00569857316189242,-64.1567120569311,0.000455291953570086,-58.6178668262908
-90,6.395,0.00569943605712648,-66.8303848557329,0.000455383794108477,-61.3131946130217
-90,6.396,0.00570029004324795,-69.5040729998684,0.000455474681918719,-64.0085341487539
-90,6.397,0.00570113511741326,-72.1777763190835,0.000455564616850587,-66.7038852969456
-90,6.398,0.00570197127569864,-74.8514946412197,0.000455653598474993,-69.3992479439526
-90,6.399,0.00570279851325769,-77.5252278172115,0.000455741626580124,-72.0946219320804
-90,6.4,0.00570361682678585,-80.1989756658789,0.000455828700937782,-74.7900071653846
-90,6.401,0.00570442621307034,-82.8727380302032,0.000455914821234965,-77.4854035011786
-90,6.402,0.00570522666675572,-85.5465147402722,0.000455999987178368,-80.1808108074002
-90,6.403,0.00570601818542185,-88.2203056322909,0.000456084198478339,-82.8762289577123
-90,6.404,0.00570680076501065,-90.8941105426664,0.000456167454989602,-85.5716578256089
-90,6.405,0.00570757440145343,-93.5679293049026,0.000456249756353462,-88.2670972823591
-90,6.406,0.00570833909078662,-96.2417617550969,0.0004563311023008,-90.9625471986394
