x_coord [mm],y_coord [mm],pow1_mean,pow2_mean,inc_ang_sim_deg,rssd_sim_db,scenario,rssd_guide_interp_db,delta_db
5250,750,2.4928592206209126e-06,1.236208903097335e-06,8.13010235415598,3.0460588623144247,A,6.384323426993713,-3.338264564679288
5250,1250,2.3661561244186884e-06,1.2195364646449525e-06,13.392497753751098,2.878486065566804,A,4.669852697871307,-1.791366632304503
5250,1750,1.6719006841938e-06,7.334481640631598e-07,18.43494882292201,3.5784104969809647,A,2.790945594673695,0.7874649023072697
750,-1750,9.948168342960449e-07,7.889606252038299e-07,-66.80140948635182,1.0068779645428876,B,3.9429773455505077,-2.93609938100762
750,-1250,9.778793160576856e-07,5.855594346770532e-07,-59.03624346792648,2.2271427727207893,B,5.379266395267229,-3.1521236225464397
750,-750,1.5632602188021644e-06,5.781191203509836e-07,-45.0,4.320139430838488,B,7.9328958206078966,-3.612756389769409
750,-250,6.749710713242684e-07,1.671012979506815e-06,-18.43494882292201,-3.936946635219911,B,10.529141751250947,-14.466088386470858
750,250,2.067833423803689e-06,2.439413603957942e-06,18.43494882292201,-0.7176989058699377,B,2.790945594673695,-3.5086445005436326
750,750,4.167119243623974e-06,1.0813745025086193e-06,45.0,5.8585980290239945,B,-7.2794329476226665,13.138030976646661
750,1250,1.9095817311336176e-06,2.0112280158799544e-07,59.03624346792648,9.77476941153968,B,-9.37368223429675,19.14845164583643
750,1750,1.2502366104979026e-06,1.0788549864161096e-07,66.80140948635182,10.64029138937039,B,-10.366700742570027,21.006992131940414
1500,-1750,1.306307248594424e-06,1.0794568335908629e-06,-49.398705354995535,0.8284005670973329,B,7.151557745556891,-6.323157178459558
1500,-1250,1.7421197212714917e-06,1.680082983371953e-06,-39.80557109226519,0.15747264000018646,B,8.791695739310788,-8.634223099310601
1500,-750,1.962975608953789e-06,1.908021307780551e-06,-26.56505117707799,0.1233168291892568,B,10.315667334357181,-10.192350505167925
1500,-250,2.358015342987257e-06,3.1396311214053774e-06,-9.462322208025617,-1.2433199874210246,B,9.976673387273337,-11.219993374694361
1500,250,2.6674014693099275e-06,2.438949092526755e-06,9.462322208025617,0.3888565055640143,B,5.975585426145386,-5.586728920581372
1500,750,3.0400286768150883e-06,1.4209405256950517e-06,26.56505117707799,3.303017797041761,B,-0.567009072519164,3.8700268695609252
1500,1250,2.201015414896758e-06,5.590246288118163e-07,39.80557109226519,5.95192142248181,B,-5.801353866623025,11.753275289104835
